type,id,lat,lon,timestamp,version,changeset,user,uid,tags/addr:block_number,tags/addr:city,tags/addr:housenumber,tags/addr:neighbourhood,tags/addr:postcode,tags/addr:province,tags/atm,tags/branch,tags/brand,tags/brand:en,tags/brand:ja,tags/brand:wikidata,tags/brand:wikipedia,tags/internet_access,tags/level,tags/name,tags/name:en,tags/name:ja,tags/name:ja_rm,tags/name:zh,tags/official_name:en,tags/opening_hours,tags/operator,tags/phone,tags/shop,tags/source,tags/website,tags/wheelchair,tags/addr:quarter,tags/fixme,tags/wheelchair:description,tags/official_name,tags/official_name:ja,tags/addr:housename,tags/name:ko,tags/craft,tags/tourism,tags/name:es,tags/toilets:wheelchair,tags/wikidata,tags/wikimedia_commons,tags/wikipedia,tags/check_date,tags/addr:country,tags/branch:en,tags/shop:anime,tags/shop:comic_goods,tags/shop:manga,tags/addr:suburb,tags/contact:phone,tags/contact:website,tags/name:fr,tags/name:ja-Latn,tags/official_name:fr,tags/official_name:ja-Latn,tags/contact:twitter,tags/addr:floor,tags/layer,tags/payment:cash,tags/payment:credit_cards,tags/payment:debit_cards,tags/payment:visa,tags/payment:visa_debit,tags/operator:en,tags/operator:wikidata,tags/operator:wikipedia,tags/start_date,tags/note,tags/contact:instagram
node,2365110377,35.681804,139.7717759,2025-07-08T02:28:29Z,19,168628561,gc27,7130304,3,中央区,21,日本橋二丁目,103-0027,東京都,yes,日本橋二丁目店,7-ELEVEN,7-ELEVEN,セブン-イレブン,Q259340,en:7-Eleven,wlan,0,セブン-イレブン,7-Eleven,セブン-イレブン,Sebun Irebun,7-11便利店,Seven-Eleven,24/7,セブンイレブン・ジャパン,+81 3-5201-5518,convenience,(URL) 2015,https://www.sej.co.jp/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365111053,35.681717,139.771455,2025-03-24T04:38:33Z,10,164013377,CR86,1879503,,,,,,,,八重洲一丁目店,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,,,ファミリーマート,FamilyMart,ファミリーマート,Famirī Mato,,,24/7,,+81 3 5204 0236,convenience,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365554362,35.681355,139.771496,2024-10-08T10:39:42Z,7,157619925,vbence,2457157,3,中央区,18,2,103-0027,東京都,,,おかしのまちおか,Machioka,おかしのまちおか,Q117828763,,,,おかしのまちおか,Machioka,おかしのまちおか,,,,,,,confectionery,,,limited,日本橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365555224,35.6812828,139.7716731,2025-03-24T04:38:33Z,9,164013377,CR86,1879503,,,,,,,,,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,,,ファミリーマート,FamilyMart,ファミリーマート,,,,,,,convenience,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2463553445,35.6804924,139.7688005,2025-05-23T02:55:43Z,4,166635594,gc27,7130304,7,羽村市,23,栄町1丁目,205-0002,東京都,,,,,,,,,,レアルヘアー,,,,,,,,+81-42-554-6455,hairdresser,,,yes,,please put it in proper location (address included),車いすのかたでも使える美容院。トイレも広い。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3579876681,35.6806763,139.7684655,2025-07-07T10:49:38Z,7,168598596,gc27,7130304,9,千代田区,1,丸の内一丁目,100-0005,東京都,,東京駅グランルーフ店,NTT docomo,NTT docomo,NTTドコモ,Q853958,ja:NTTドコモ,wlan,1,ドコモショップ,docomo Shop,ドコモショップ,Dokomo Shoppu,,,Mo-Su 10:00-21:00,NTTドコモ,+81 3-5221-8886,mobile_phone,(URL) 2015,https://www.nttdocomo.co.jp/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3593816993,35.6809357,139.7684923,2025-05-23T02:57:25Z,12,166635613,gc27,7130304,9,千代田区,1,丸の内1丁目,100-0005,東京都,,東京駅グランルーフフロント,SoftBank,SoftBank,ソフトバンク,Q2214105,ja:ソフトバンクショップ,,-1,ソフトバンクショップ,SoftBank Shop,ソフトバンクショップ,Sofutobanku Shoppu,,SoftBankShop,Mo-Su 10:00-21:00,ソフトバンク,+81-3-3284-1170,mobile_phone,(URL) 2015,https://www.softbank.jp/mobile/,yes,,,,ソフトバンクショップ,ソフトバンクショップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3756803582,35.6788149,139.767655,2025-07-06T22:33:33Z,11,168580797,gc27,7130304,9,千代田区,2,丸の内一丁目,100-6633,東京都,yes,リクルートサウスタワー,7-ELEVEN,7-ELEVEN,セブン-イレブン,Q259340,en:7-Eleven,no,,セブン-イレブン,7-Eleven,セブン-イレブン,Sebun Irebun,7-Eleven,Seven-Eleven,,セブンイレブン・ジャパン,+81 3-3201-1355,convenience,(URL) 2015,https://www.sej.co.jp/,yes,,,,,,グラントウキョウサウ,세븐일레븐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789921336,35.6789368,139.7712591,2024-06-25T04:28:40Z,4,153137609,wheelmap_visitor,290680,,,,,,,,,,,,,,,,西勘刀 本店,Tokyo Nishikan,,,,,,,,houseware,,,limited,,,,,,,,blacksmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789921348,35.6801773,139.7719477,2019-06-04T00:52:47Z,3,70904168,Mzaki,9870387,,,,,,,,,,,,,,,,Shoichiro,,,,,,,,,art,,,,,,,,,,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789921350,35.6789898,139.7712886,2024-06-25T04:28:07Z,4,153137593,wheelmap_visitor,290680,,,,,,,,,,,,,,,,千疋屋,Sembikiya,,,,,,,,greengrocer,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789923357,35.6801602,139.7719577,2019-06-04T00:52:47Z,3,70904168,Mzaki,9870387,,,,,,,,,,,,,,,,MASATAKA CONTEMPORARY,,,,,,,,,art,,,,,,,,,,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4314108090,35.6813118,139.7718858,2023-06-11T16:36:57Z,9,137211752,penguin_the_dawn,2929244,,,,,,,,,,,,,,,0,富士の国やまなし館,Yamanashi Prefecture Shop,,,,,,,,gift,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4646514991,35.6812599,139.7688241,2023-11-15T04:55:11Z,11,144035067,hangukhistory,17860844,9,千代田区,1,1丁目,100-6701,東京都,,,,,,,,,,大丸,Daimaru Tokyo,大丸東京店,,大丸東京店,,"10:00-20:00; Th,Fr 10:00-21:00",株式会社大丸松坂屋百貨店,+81 3 3212 8011,department_store,,https://www.daimaru.co.jp/,yes,丸の内,,,,,,다이마루 도쿄점,,,Daimaru Tokyo,yes,Q116909154,Category:Daimaru Tokyo,ja:大丸東京店,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4697659390,35.6813593,139.7668522,2025-02-04T08:05:14Z,5,162114120,近場行き,12272282,,,,,,,,,,,,,,,,駅弁屋 祭,Ekiben-ya Matsuri,駅弁屋 祭,,,,Mo-Su 05:30-23:00,,,convenience,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4766924630,35.681779,139.7685247,2017-03-31T11:51:24Z,2,47322690,valpum,1217726,,,,,,,,,,,,,,,,,Donguri garden,,,,,Mo-Su 09:00-20:30,,,toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4982707221,35.6803498,139.76924,2017-07-20T12:41:55Z,1,50432372,YangLau,1775168,,,,,,,,,,,,,,,,,Sandog Inn,,,Sandog Inn 神戸屋,,,,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5871004550,35.678192,139.769512,2025-05-24T01:05:20Z,4,166678718,wasabi1,9596730,,,,,,,,,,,,,,,0,理容室Honu,Honu,,,,,,,,hairdresser,survey,,yes,,,,,,,,,,,,,,,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5896269889,35.6805218,139.7680107,2025-05-03T04:36:31Z,6,165743364,近場行き,12272282,9,中央区,1,丸の内一丁目,100-0005,東京都,,東京駅店,ジャンプショップ,Jump Shop,ジャンプショップ,Q11310200,ja:ジャンプショップ,,-1,ジャンプショップ,Jump Shop,ジャンプショップ,,,,10:00-20:30,Shueisha,03-3215-0123,hobby,,http://www.shonenjump.com/j/jumpshop/store.html,,,,,,,東京駅一番街,,,,,,,,,,JP,Tokyo Station,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
node,5899710104,35.6813502,139.76836,2025-05-05T21:53:22Z,3,165866154,tartiflex,507417,9,,1,丸の内1,,東京都,,東京店,トミカ,Tomica,,Q935432,,,-1,トミカ,Tomica,,,,Tomica Shop Tokyo Character Street,Mo-Su 10:00-20:30,,,toys,,,yes,,,,トミカショップ 東京キャラクターストリート店,,東京駅一番街,,,,,,,,,,JP,Tokyo,,,,千代田区,+81 3-5220-1351,https://www.takaratomy.co.jp/products/tomicashop/shop/index.htm,Tomica,Tomika,Tomica Tokyo Character Street,Tomika shoppu Tōkyō kyarakutāsutorīto-ten,,,,,,,,,,,,,,
node,7196596448,35.6773244,139.7702242,2024-06-25T04:33:54Z,3,153137770,wheelmap_visitor,290680,,,,,,,,,,,,,,,0,明治屋,Meidi-Ya,明治屋,,,,"Mo-Sa 10:00-21:00;Su,PH 10:00-20:00",,,supermarket,,https://meidi-ya-store.com/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8010456801,35.6815742,139.7701048,2025-05-24T07:31:41Z,2,166683665,wasabi1,9596730,,,,,,,,東京駅前店,,,,,,,0,チケット大黒屋,,,,,,,,+81 3 3278 3081,ticket,,,,,,,,,,,,,,,,,,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9084900652,35.6787538,139.7673074,2025-01-13T06:53:24Z,4,161297277,setokynet,21931672,,,,,,,,,FamilyMart,FamilyMart,ファミリーマート,Q11247682,ja:ファミリーマート,,-1,ファミリーマート,FamilyMart,ファミリーマート,,,,,,,convenience,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9633684729,35.6799791,139.7678471,2025-05-03T04:36:31Z,4,165743364,近場行き,12272282,9,千代田区,1,丸の内一丁目,100-0005,東京都,,八重洲南,,,,,,,,ベルマートキヨスク,Bellmart Kiosk,,,,,,,+81 3 3281 6388,convenience,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312480391,35.680858,139.7683695,2025-06-27T09:33:15Z,5,168176150,gc27,7130304,9,千代田区,1,丸の内一丁目,100-0005,東京都,,東京店,,,,,,,-1,プリキュア プリティストア,Precure Pretty Store,プリキュア プリティストア,,,,10:00-20:30,,+81-3-6551-2550,hobby,,https://www.toei-anim.co.jp/ptr/precure/,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,pps_as,,,,,,,,,,,,,
node,10538350884,35.68096,139.7718411,2024-06-25T04:22:02Z,2,153137365,wheelmap_visitor,290680,,,,,,,,,,,,,,,,リーガルファクトリーストア,,,,,,11:00-20:00,,,shoes,,,yes,,,,,,,,,,,,,,,2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10538350886,35.6809595,139.7717205,2024-06-25T04:19:57Z,2,153137304,wheelmap_visitor,290680,,,,,,,,,,,,,,,,フェアクリニック東京,,,,,,,,,beauty,,,no,,,,,,,,,,,,,,,2023-01-11,,,,,,,,,,,,,,6,,,,,,,,,,,,
node,11370968865,35.680712,139.7684915,2025-01-13T06:53:24Z,2,161297277,setokynet,21931672,,,,,,,,東京駅一番街店,成城石井,Seijo Ishii,成城石井,Q11495410,,,,成城石井,Seijo Ishii,成城石井,,,,08:00-22:00,,+81 3 6275 6066,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11402503824,35.6814125,139.7687079,2023-12-08T06:43:58Z,1,144889600,市川ゆり子,388809,,,,,,,,大丸東京店,,,,,,,,石井スポーツ,Ishii Sports,,,,,,,+81 3 5220 3580,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,yes,yes,yes,yes,yes,,,,,,
node,11562658181,35.6813884,139.7699964,2025-05-24T07:31:41Z,3,166683665,wasabi1,9596730,,,,,,,,,,,,,,,,なんぼや,,,,,,,,,pawnbroker,,,yes,,,,,,,,,,,,,,,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11562658182,35.6817758,139.7715349,2024-06-25T04:28:25Z,2,153137601,wheelmap_visitor,290680,,,,,,,,,,,,,,,0,MATSUNAGA,,,,,,,,,hairdresser,,,no,,,,,,,,,,,,,,,2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11861292769,35.6817801,139.7687029,2024-04-28T02:48:39Z,1,150602321,Enrique_Val,21325329,,,,,,,,,,,,,,,,パパブブレ,Papabubble,,,,,,,,confectionery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12066715325,35.6773567,139.7706829,2024-07-21T18:32:44Z,1,154232070,fūrai-bō_,18107010,,,,,,,,DR東京京橋ロイネット店,7-ELEVEN,7-ELEVEN,セブン-イレブン,Q259340,ja:セブン-イレブン,,,セブン-イレブン,7-Eleven,セブン-イレブン,Sebun Irebun,,Seven-Eleven,,株式会社セブン&アイ・ホールディングス,,convenience,,,,,,,,,,세븐일레븐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seven & I Holdings Co., Ltd.",Q639447,ja:セブン&アイ・ホールディングス,2020-02-01,,
node,12322800157,35.6810755,139.7713667,2025-03-24T04:38:33Z,3,164013377,CR86,1879503,,,,,,,,,つるや,Tsuruya,つるや,Q11272578,,,,つるや,Tsuruya,つるや,,,,,,,shoes,,,no,,,,,,,,,,,,,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12322800165,35.6808297,139.7714346,2024-12-05T06:59:00Z,2,159944569,wheelmap_visitor,290680,,,,,,,,,,,,,,,1,HIRO GINZA,,,,,,,,,hairdresser,,,no,,,,,,,,,,,,,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12411958869,35.6801579,139.7715609,2024-12-11T10:28:57Z,1,160162741,Biebie_matsu,287045,,,,,,,,,,,,,,,,Matsunaga,,,,,,,,,hairdresser,,,,,,,,,,,,,,,,,,2024-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12497563830,35.6805416,139.7686833,2025-01-13T06:53:24Z,1,161297277,setokynet,21931672,,,,,,,,,,,,,,,,八重洲地下街,,,,,,,,,mall,,https://www.yaechika.com/,,,,,ヤエチカ,,,,,,,,Q10892516,,ja:八重洲地下街,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12579184563,35.6818735,139.7674377,2025-02-24T12:41:14Z,2,162891063,近場行き,12272282,,,,,,,,,みどりの窓口,Midori-no-madoguchi,みどりの窓口,Q11279064,,,,みどりの窓口,JR Ticket Office,みどりの窓口,,,,,,,ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,改札内,
node,12712686943,35.6816247,139.7690155,2025-03-30T07:45:11Z,1,164276086,lasvirt,22679614,,,,,,,,,,,,,,,,Kamakura Toshimaya Daimaru,,,,,,,,,confectionery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12859912148,35.6772368,139.7706209,2025-05-24T01:05:20Z,1,166678718,wasabi1,9596730,,,,,,,,,宝くじ,Takarakuji,宝くじ,Q87824893,,,,宝くじ,Takarakuji,宝くじ,,,National Autonomous Lottery,,,,lottery,,,,,,,全国自治宝くじ,全国自治宝くじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12883566901,35.6793517,139.7689189,2025-06-03T13:44:46Z,1,167136459,nikuya,17062406,,,,,,,,,,,,,,,,THE CITY BAKERY 東京ミッドタウン八重洲,,,,,,Mo-Su 07:30-21:00,,+81335279438,bakery,,https://thecitybakery.jp/shop/article1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citybakery_yaesu
node,12883567201,35.6784655,139.7716147,2025-06-03T13:44:48Z,1,167136459,nikuya,17062406,,,,,,,,,,,,,,,,THE CITY BAKERY 京橋トダビルディング,,,,,,Mo-Su 08:00-19:00,,+81362644820,bakery,,https://thecitybakery.jp/shop/article2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tokyo8min
